date,725_TEU,1000_TEU,1700_TEU,2000_TEU,2750_TEU
2005-01-01,10246.0,16158.0,16396.0,21732.0,32345.0
2005-02-01,9581.0,14729.0,17016.0,23662.0,32686.0
2005-03-01,10168.0,14432.0,22765.0,24645.0,29302.0
2005-04-01,10690.0,15196.0,23229.0,24997.0,32944.0
2005-05-01,9357.0,15405.0,21770.0,26621.0,31131.0
2005-06-01,8806.0,14781.0,22587.0,26709.0,27270.0
2005-07-01,9259.0,14575.0,19525.0,26949.0,25937.0
2005-08-01,9316.0,13251.0,19648.0,26942.0,25058.0
2005-09-01,9531.0,13405.0,20446.0,26431.0,26852.0
2005-10-01,9191.0,13485.0,20671.0,22450.0,27376.0
2005-11-01,9970.0,14015.0,22401.0,22849.0,27601.0
2005-12-01,10456.0,13638.0,22813.0,22036.0,29906.0
2006-01-01,10378.0,14350.0,23681.0,20233.0,30891.0
2006-02-01,10946.0,15361.0,21856.0,24023.0,31528.0
2006-03-01,10957.0,15256.0,23422.0,26756.0,32184.0
2006-04-01,10185.0,15368.0,25830.0,28039.0,33106.0
2006-05-01,10366.0,15163.0,22855.0,27053.0,27636.0
2006-06-01,9713.0,14969.0,20920.0,28232.0,27721.0
2006-07-01,10335.0,14148.0,23553.0,26774.0,23705.0
2006-08-01,10225.0,14559.0,22658.0,26078.0,25868.0
2006-09-01,10069.0,14454.0,24891.0,23380.0,27292.0
2006-10-01,9669.0,16461.0,23144.0,24034.0,30645.0
2006-11-01,10506.0,17372.0,25323.0,23918.0,33312.0
2006-12-01,10283.0,16882.0,24476.0,21511.0,32968.0
2007-01-01,9967.0,15447.0,24110.0,21961.0,31148.0
2007-02-01,9790.0,14112.0,26196.0,22228.0,32087.0
2007-03-01,10186.0,15364.0,24202.0,25617.0,30470.0
2007-04-01,10365.0,15360.0,21767.0,26448.0,30520.0
2007-05-01,10518.0,15563.0,20946.0,25524.0,32772.0
2007-06-01,10635.0,13592.0,21987.0,25282.0,30882.0
2007-07-01,11722.0,14750.0,19097.0,24764.0,32621.0
2007-08-01,10987.0,15112.0,21025.0,23979.0,33549.0
2007-09-01,10410.0,13878.0,20265.0,21930.0,30535.0
2007-10-01,9829.0,13622.0,22757.0,22084.0,32755.0
2007-11-01,10262.0,14141.0,18150.0,21177.0,33691.0
2007-12-01,10866.0,14303.0,17808.0,19682.0,33007.0
2008-01-01,10560.0,14090.0,15956.0,21640.0,30587.0
2008-02-01,9918.0,14120.0,16201.0,22806.0,28676.0
2008-03-01,9479.0,13999.0,18298.0,19908.0,28061.0
2008-04-01,10037.0,14299.0,19001.0,20717.0,30055.0
2008-05-01,10482.0,15762.0,19360.0,23191.0,28087.0
2008-06-01,10677.0,12951.0,19780.0,25031.0,29837.0
2008-07-01,10103.0,13196.0,20724.0,26263.0,27293.0
2008-08-01,10228.0,13759.0,19212.0,25441.0,27841.0
2008-09-01,8733.0,11550.0,14974.0,17600.0,21450.0
2008-10-01,7714.0,9878.0,13246.0,13977.0,20383.0
2008-11-01,7177.0,8142.0,11866.0,12394.0,15629.0
2008-12-01,6626.0,7779.0,11005.0,11308.0,15288.0
2009-01-01,6364.0,8096.0,10243.0,11155.0,13664.0
2009-02-01,6015.0,6986.0,10776.0,10922.0,12801.0
2009-03-01,5831.0,7188.0,9847.0,9937.0,11890.0
2009-04-01,5794.0,6842.0,9063.0,8506.0,11594.0
2009-05-01,5205.0,6710.0,8239.0,8121.0,10760.0
2009-06-01,5099.0,6212.0,7492.0,8209.0,11861.0
2009-07-01,4985.0,6157.0,6839.0,7992.0,10629.0
2009-08-01,4859.0,6786.0,6600.0,7588.0,11432.0
2009-09-01,4869.0,6933.0,6934.0,7860.0,10132.0
2009-10-01,5354.0,7506.0,7417.0,7546.0,9835.0
